criterion,max_depth,min_samples_leaf,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_greens_mean,precision_greens_std,recall_greens_mean,recall_greens_std,f1_greens_mean,f1_greens_std
entropy,4,20,0.8733802097837184,0.04297621951693509,0.6127807292845395,0.11077107704915416,0.9031130268199234,0.04243336100749909,0.8482456140350877,0.03414735232184953,0.6234782608695651,0.1322082335304141,0.7742690058479532,0.038543291352711305,0.6837980291803529,0.09619836343434053
gini,4,20,0.8723661004362759,0.05015342568345737,0.6149501891135933,0.11103062974412842,0.874080459770115,0.025601880471397078,0.8449874686716792,0.034785416516732774,0.5147734629417318,0.06667641465588378,0.8058479532163743,0.07298470531846873,0.624287211740042,0.05297992573168226
gini,5,20,0.8717650608001485,0.05670542208756444,0.6168024652833829,0.11381888429780895,0.8491858237547893,0.027798611555643254,0.8307017543859649,0.030444107862150297,0.4594761504265289,0.05264428624524658,0.8058479532163743,0.08100206856406994,0.5809212279904044,0.04126320794215605
entropy,5,20,0.8669869117237539,0.05383672131005635,0.6137174576399541,0.10747233530697116,0.8712164750957856,0.059505181452470426,0.8347535505430242,0.036662411269059995,0.5426813796749042,0.15456116266091682,0.7853801169590644,0.06727942464687557,0.6280898503285182,0.11131102437979795
gini,3,35,0.8627053745474799,0.05857714202028637,0.5720692135150575,0.10549368376462243,0.8810249042145593,0.030893327587128185,0.8176691729323309,0.048849683145285865,0.5412257264209726,0.09626563768856947,0.7321637426900585,0.09439690654494068,0.6161374982170875,0.07529828118933238
entropy,3,20,0.8571150097465887,0.052149400985205686,0.5952246590268717,0.11449491525638214,0.921139846743295,0.01993215618303649,0.8398078529657477,0.043877348539164356,0.6819730485634375,0.07982380072904116,0.7304093567251462,0.0789018712305166,0.7042637779479886,0.07485786106738063
gini,3,20,0.8537269098672606,0.05415892544394872,0.592580617761161,0.1155713923605954,0.9114176245210729,0.024337091916516663,0.8342522974101921,0.042046211790250164,0.6456767522671413,0.10165087565202269,0.7304093567251462,0.0789018712305166,0.6813398013398013,0.07881677836032432
gini,4,35,0.846832358674464,0.05361612092311826,0.5715960017713714,0.10217939512293518,0.8699137931034482,0.028469398868809635,0.8113199665831246,0.0386263162006284,0.5141357793310255,0.09705401876996285,0.7321637426900585,0.09439690654494068,0.5946699929759973,0.05861359236591165
entropy,3,35,0.8440847489093104,0.05715709911221442,0.5312345774802114,0.12380761681806975,0.8420785440613028,0.1374810321068452,0.7730994152046784,0.05717310875111023,0.572748064698529,0.19787414890855098,0.6795321637426901,0.10126588393094549,0.5853511546941711,0.14269376622325386
entropy,4,35,0.8438294811101829,0.04147139564847964,0.5434109654392806,0.10664393367306567,0.8948563218390806,0.03556635558163399,0.7889724310776942,0.037438786676269674,0.6122075241579885,0.12719589085321778,0.6461988304093567,0.06667692544439405,0.6201337633898232,0.08464667791489884
entropy,2,20,0.8436043813236797,0.04412823031913017,0.587287129998812,0.11537215908360754,0.921139846743295,0.01993215618303649,0.8398078529657477,0.043877348539164356,0.6819730485634375,0.07982380072904116,0.7304093567251462,0.0789018712305166,0.7042637779479886,0.07485786106738063
gini,2,20,0.84317738791423,0.04402657338591566,0.5784323541703521,0.11223711524821464,0.921139846743295,0.01993215618303649,0.8398078529657477,0.043877348539164356,0.6819730485634375,0.07982380072904116,0.7304093567251462,0.0789018712305166,0.7042637779479886,0.07485786106738063
entropy,5,35,0.833154645873944,0.052921726765240554,0.5506837569571759,0.1078873537092985,0.7731704980842912,0.1539785753049465,0.7786967418546367,0.066177411087481,0.4364351317164384,0.18243849475592586,0.7859649122807018,0.11908018139144258,0.5245064709634186,0.14112643476106268
gini,5,35,0.8237097373062285,0.05738201985304519,0.567319049331541,0.10269495017168498,0.8034865900383142,0.0631516787795052,0.7869256474519633,0.03855483327297713,0.40892220119283323,0.1423354793759717,0.764327485380117,0.07084476126740494,0.5155101380500431,0.09414025149340227
entropy,2,35,0.8230344379467185,0.05694053400045334,0.5032376604622717,0.11200765405213704,0.9183812260536399,0.01935796028473565,0.7563074352548036,0.05684129733912938,0.7662745098039216,0.129531436052403,0.5380116959064327,0.11146450418421891,0.625625235633742,0.09746618284169004
entropy,3,50,0.8201870416782697,0.058686616636489844,0.4889574933201035,0.128418309434532,0.8434674329501917,0.11669727624422205,0.7405597326649959,0.05300328885230915,0.5616905901116427,0.18309722196403955,0.6017543859649123,0.1339219591372301,0.5382290014850614,0.11787858932772502
entropy,5,50,0.8196092082056994,0.049585220857242956,0.5102637172279575,0.11706241031055648,0.8173659003831417,0.07802343337714497,0.7430659983291562,0.05328858860933508,0.42769621083500536,0.16151575733657667,0.6432748538011697,0.09460318345610837,0.4967922754432933,0.12026688560688203
gini,2,35,0.8190499396639748,0.06397528184426943,0.5061348681444159,0.1054368399866374,0.8797605363984674,0.06950472743513081,0.7385547201336675,0.058778238197843245,0.6400840336134455,0.20619995700986246,0.5485380116959064,0.11717232020114383,0.562378276352938,0.12193554915716197
entropy,4,50,0.8188712522045855,0.04494059979219362,0.5007424612133542,0.11861723525912989,0.7509578544061302,0.14567838845449996,0.7427736006683375,0.058122432797814344,0.39489781766669635,0.18833589773112072,0.7315789473684211,0.0730502758812968,0.47783691261067657,0.13787233693019488
gini,3,50,0.8170077972709551,0.050118341280032994,0.49894637638138395,0.11979474245025096,0.7785057471264368,0.11781733170702417,0.7443609022556391,0.0498229532884771,0.40835725677830936,0.17838390651335018,0.6982456140350877,0.10200278882065562,0.4849279342227133,0.12947603025575924
gini,4,50,0.8143158822983384,0.0415870391924214,0.5102144316033462,0.11171279967297432,0.7991666666666666,0.09105732770297405,0.7753132832080201,0.04175613767314322,0.42666894508999764,0.16579363305015132,0.7426900584795322,0.08280586116085555,0.5153108038893826,0.1141160361757106
gini,5,50,0.800352733686067,0.036311773220446014,0.5096086239790412,0.11026490716195976,0.8075574712643678,0.07058975226741006,0.7386800334168755,0.054017858593873244,0.40192327409432665,0.14958165963147943,0.6456140350877193,0.12137003899247706,0.4782392732904629,0.11090828630798494
gini,2,50,0.7989882112689131,0.0426777480777179,0.46354170966890446,0.09548775485667729,0.872816091954023,0.06497592920408293,0.706015037593985,0.02733713094777469,0.6271428571428572,0.19990700785961263,0.4818713450292397,0.09137415204670875,0.5138068477815094,0.08229690210459598
entropy,2,50,0.7912002227791701,0.05971800535820101,0.4570342608765192,0.11130910316368875,0.9114367816091955,0.017380832371337217,0.7237677527151212,0.04097201428447332,0.7533333333333333,0.13224556283251582,0.47134502923976607,0.07510466005541601,0.5770538070623134,0.08688008445909669
